COUNTRY_REGION,ISO3166_1,ISO3166_2,NOTE,STATE,HOSPITALS,ICU_BEDS,COUNTY,FIPS
United States,US,AL,Hospitals with ICU beds,Alabama,1,6,Autauga,01001
United States,US,AL,Hospitals with ICU beds,Alabama,3,51,Baldwin,01003
United States,US,AL,Hospitals with ICU beds,Alabama,1,5,Barbour,01005
United States,US,AL,Hospitals without ICU beds,Alabama,1,0,Bibb,01007
United States,US,AL,Hospitals with ICU beds,Alabama,1,6,Blount,01009
United States,US,AL,Hospitals without ICU beds,Alabama,1,0,Bullock,01011
United States,US,AL,Hospitals with ICU beds,Alabama,1,7,Butler,01013
United States,US,AL,Hospitals with ICU beds,Alabama,2,24,Calhoun,01015
United States,US,AL,No hospitals,Alabama,0,0,Chambers,01017
United States,US,AL,Hospitals without ICU beds,Alabama,1,0,Cherokee,01019
United States,US,AL,Hospitals with ICU beds,Alabama,1,6,Chilton,01021
United States,US,AL,Hospitals without ICU beds,Alabama,1,0,Choctaw,01023
United States,US,AL,Hospitals without ICU beds,Alabama,2,0,Clarke,01025
United States,US,AL,Hospitals with ICU beds,Alabama,1,4,Clay,01027
United States,US,AL,No hospitals,Alabama,0,0,Cleburne,01029
United States,US,AL,Hospitals with ICU beds,Alabama,1,7,Coffee,01031
United States,US,AL,Hospitals with ICU beds,Alabama,2,22,Colbert,01033
United States,US,AL,Hospitals without ICU beds,Alabama,1,0,Conecuh,01035
United States,US,AL,No hospitals,Alabama,0,0,Coosa,01037
United States,US,AL,Hospitals with ICU beds,Alabama,2,13,Covington,01039
United States,US,AL,Hospitals without ICU beds,Alabama,1,0,Crenshaw,01041
United States,US,AL,Hospitals with ICU beds,Alabama,1,12,Cullman,01043
United States,US,AL,Hospitals with ICU beds,Alabama,1,6,Dale,01045
United States,US,AL,Hospitals with ICU beds,Alabama,1,18,Dallas,01047
United States,US,AL,Hospitals with ICU beds,Alabama,1,12,DeKalb,01049
United States,US,AL,Hospitals with ICU beds,Alabama,2,5,Elmore,01051
United States,US,AL,Hospitals with ICU beds,Alabama,2,14,Escambia,01053
United States,US,AL,Hospitals with ICU beds,Alabama,2,56,Etowah,01055
United States,US,AL,Hospitals with ICU beds,Alabama,2,12,Fayette,01057
United States,US,AL,Hospitals with ICU beds,Alabama,2,7,Franklin,01059
United States,US,AL,Hospitals with ICU beds,Alabama,1,6,Geneva,01061
United States,US,AL,Hospitals without ICU beds,Alabama,1,0,Greene,01063
United States,US,AL,Hospitals without ICU beds,Alabama,1,0,Hale,01065
United States,US,AL,No hospitals,Alabama,0,0,Henry,01067
United States,US,AL,Hospitals with ICU beds,Alabama,2,66,Houston,01069
United States,US,AL,Hospitals with ICU beds,Alabama,1,10,Jackson,01071
United States,US,AL,Hospitals with ICU beds,Alabama,8,471,Jefferson,01073
United States,US,AL,No hospitals,Alabama,0,0,Lamar,01075
United States,US,AL,Hospitals with ICU beds,Alabama,1,48,Lauderdale,01077
United States,US,AL,Hospitals with ICU beds,Alabama,1,6,Lawrence,01079
United States,US,AL,Hospitals with ICU beds,Alabama,1,28,Lee,01081
United States,US,AL,Hospitals with ICU beds,Alabama,1,10,Limestone,01083
United States,US,AL,No hospitals,Alabama,0,0,Lowndes,01085
United States,US,AL,No hospitals,Alabama,0,0,Macon,01087
United States,US,AL,Hospitals with ICU beds,Alabama,2,100,Madison,01089
United States,US,AL,Hospitals with ICU beds,Alabama,1,5,Marengo,01091
United States,US,AL,Hospitals with ICU beds,Alabama,1,4,Marion,01093
United States,US,AL,Hospitals with ICU beds,Alabama,1,20,Marshall,01095
United States,US,AL,Hospitals with ICU beds,Alabama,4,157,Mobile,01097
United States,US,AL,Hospitals with ICU beds,Alabama,1,8,Monroe,01099
United States,US,AL,Hospitals with ICU beds,Alabama,3,88,Montgomery,01101
United States,US,AL,Hospitals with ICU beds,Alabama,1,34,Morgan,01103
United States,US,AL,No hospitals,Alabama,0,0,Perry,01105
United States,US,AL,Hospitals with ICU beds,Alabama,1,4,Pickens,01107
United States,US,AL,Hospitals with ICU beds,Alabama,1,9,Pike,01109
United States,US,AL,Hospitals without ICU beds,Alabama,1,0,Randolph,01111
United States,US,AL,Hospitals with ICU beds,Alabama,1,8,Russell,01113
United States,US,AL,Hospitals with ICU beds,Alabama,1,6,St. Clair,01115
United States,US,AL,Hospitals with ICU beds,Alabama,1,32,Shelby,01117
United States,US,AL,Hospitals without ICU beds,Alabama,1,0,Sumter,01119
United States,US,AL,Hospitals with ICU beds,Alabama,2,14,Talladega,01121
United States,US,AL,Hospitals with ICU beds,Alabama,2,6,Tallapoosa,01123
United States,US,AL,Hospitals with ICU beds,Alabama,1,84,Tuscaloosa,01125
United States,US,AL,Hospitals with ICU beds,Alabama,1,12,Walker,01127
United States,US,AL,Hospitals without ICU beds,Alabama,1,0,Washington,01129
United States,US,AL,Hospitals without ICU beds,Alabama,1,0,Wilcox,01131
United States,US,AL,Hospitals with ICU beds,Alabama,1,4,Winston,01133
United States,US,AK,No hospitals,Alaska,0,0,Aleutians East,02013
United States,US,AK,No hospitals,Alaska,0,0,Aleutians West,02016
United States,US,AK,Hospitals with ICU beds,Alaska,3,73,Anchorage,02020
United States,US,AK,Hospitals without ICU beds,Alaska,1,0,Bethel,02050
United States,US,AK,No hospitals,Alaska,0,0,Bristol Bay,02060
United States,US,AK,No hospitals,Alaska,0,0,Denali,02068
United States,US,AK,Hospitals without ICU beds,Alaska,1,0,Dillingham,02070
United States,US,AK,Hospitals with ICU beds,Alaska,1,13,Fairbanks North Star,02090
United States,US,AK,No hospitals,Alaska,0,0,Haines,02100
United States,US,AK,No hospitals,Alaska,0,0,Hoonah-Angoon,02105
United States,US,AK,Hospitals with ICU beds,Alaska,1,9,Juneau,02110
United States,US,AK,Hospitals with ICU beds,Alaska,3,6,Kenai Peninsula,02122
United States,US,AK,Hospitals with ICU beds,Alaska,1,4,Ketchikan Gateway,02130
United States,US,AK,Hospitals without ICU beds,Alaska,1,0,Kodiak Island Borough,02150
United States,US,AK,No hospitals,Alaska,0,0,Kusilvak,02158
United States,US,AK,No hospitals,Alaska,0,0,Lake and Peninsula,02164
United States,US,AK,Hospitals with ICU beds,Alaska,1,14,Matanuska-Susitna,02170
United States,US,AK,Hospitals without ICU beds,Alaska,1,0,Nome,02180
United States,US,AK,Hospitals without ICU beds,Alaska,1,0,North Slope Borough,02185
