County,State,icu_score,income_score,population_score,vulnerability
Kalawao,Hawaii,0,0.385214959120604,1,0.5382616802931319
Mineral,Colorado,0.00026414371028802875,0.1275965262293158,0.48467834031214313,0.7958203299160843
Keya Paha,Nebraska,0,0.16563979188671127,0.7225459355115463,0.7039380908672475
Decatur,Kansas,0,0.1598012752806791,0.46203249459302637,0.7927220767087648
Cook,Minnesota,0,0.14668661737667724,0.45121095577152953,0.8007008089505977
La Paz,Arizona,0.00017448553959313758,0.15442240738567461,0.7076408450704226,0.7125874206681032
Daniels,Montana,0,0.2553886476548136,0.7076408450704226,0.6789901690915879
Lane,Kansas,0.0013137487944749077,0.2243965888197786,0.5311417686446548,0.7477159645803639
Iron,Wisconsin,0,0.2189003638070649,0.37921716344579104,0.8006274909157147
Vilas,Wisconsin,0.00183659742435465,0.20387865274028869,0.7027713544951301,0.6971711317800755
Ontonagon,Michigan,0,0.14311700504635605,0.7027713544951301,0.7180372134861712
Cheyenne,Kansas,0.000218928869897579,0.30957829675703163,0.47888673034374835,0.7371053480097742
San Juan,Washington,0,0.2005437546453859,0.28657557882909995,0.837626888841838
Esmeralda,Nevada,0,0.10071196651410241,0.6884493233913284,0.7369462366981898
Haines,Alaska,0,0.321558502523178,0.6884493233913284,0.6633307246951645
Baylor,Texas,0.017296441314339467,0.13162578727066462,0.6837684644452079,0.722436435656596
Lemhi,Idaho,0,0.13824668466142473,0.6837684644452079,0.7259949502977892
Brown,Nebraska,0.0001361884709599101,0.21718890584047257,0.32568275506698724,0.8189973835405268
Griggs,North Dakota,0,0.2499315416813363,0.6791330507315739,0.69031180252903
Wrangell,Alaska,0,0.25285568986425694,0.6791330507315739,0.6893370864680564
Wheeler,Oregon,0,0.04299182412079959,0.25793681004948604,0.8996904552765714
Door,Wisconsin,0.0005650114494158538,0.29781324570668544,0.6745424236238688,0.6756931064066767
Price,Wisconsin,0.0011209988300495933,0.22158979775456714,0.6745424236238688,0.7009155932638382
Aitkin,Minnesota,0.0004690736760589803,0.2115459844306224,0.6745424236238688,0.7044808394231499
Custer,Colorado,0,0.24435707859014982,0.46478873239436613,0.7636180630051613
Terrell,Texas,0,0.12363572350663067,0.43812512757705663,0.8127463829721042
Rawlins,Kansas,0,0.22978523647459217,0.66999593716143,0.7000729421213259
Burke,North Dakota,0,0.11254547588311231,0.39244449749343513,0.8316700088744842
Divide,North Dakota,0,0.3429859562649141,0.66999593716143,0.6623393688578854
Hinsdale,Colorado,0,0.3587313695575637,0.665492957746479,0.6585918908986523
Roscommon,Michigan,0,0.13054023393185463,0.665492957746479,0.7346556027738889
Russell,Kansas,0.000011222561883366742,0.15801157923561399,0.47318320569806677,0.7895979975014786
Pawnee,Nebraska,0,0.23561397332081524,0.4433021486583736,0.7736946260069371
Burnett,Wisconsin,0,0.19146813754254197,0.6610328638497652,0.7158329995358976
Nelson,North Dakota,0,0.23321793216758596,0.4675657719904332,0.7664054319473269
Jewell,Kansas,0,0.19459766068145368,0.6566150457245845,0.7162624311979873
Nuckolls,Nebraska,0,0.17220201071861674,0.6566150457245845,0.7237276478522663
Dickinson,Iowa,0.00029216136579400645,0.28267417752220003,0.5056729264475743,0.7371202448881439
Granite,Montana,0,0.246938935179752,0.6566150457245845,0.6988153396985546
Hitchcock,Nebraska,0,0.19281774439619762,0.6566150457245845,0.7168557366264059
Campbell,South Dakota,0.00037194876790519867,0.581915268161014,0.4433021486583736,0.6581368781375689
Adams,North Dakota,0,0.2341274498298322,0.32568275506698724,0.8133965983677268
Rush,Kansas,0,0.2681121151664515,0.5087677459177375,0.7410400463052703
LaMoure,North Dakota,0,0.32962680436568476,0.6522389051288864,0.6727114301684762
Jackson,Colorado,0,0.16452489926847397,0.37279929577464793,0.8208919349856261
Presque Isle,Michigan,0,0.19232875640574268,0.6522389051288864,0.7184774461551237
Kidder,North Dakota,0,0.29352971091030006,0.6522389051288864,0.6847437946536046
Grant,North Dakota,0,0.19234831592536086,0.37921716344579104,0.8094781735429494
Pickett,Tennessee,0,0.14863278957868795,0.647903855055214,0.7344877851220326
McIntosh,North Dakota,0,0.1866173766772288,0.42058179465485496,0.7976002762226387
Sheridan,North Dakota,0.0016273709810956884,0.31316746860697103,0.5548374636001663,0.7101225656039223
Gregory,South Dakota,0,0.16364472088565504,0.6436093194682111,0.7309153198820446
Throckmorton,Texas,0,0.1887493643156124,0.6436093194682111,0.7225471054053922
Treasure,Montana,0,0.1674197081719673,0.6436093194682111,0.7296569907866073
Keweenaw,Michigan,0,0.18632398388295585,0.6393547330494596,0.7247737610225282
Holt,Missouri,0,0.23902710949419081,0.5690171069334462,0.7306519278574544
Emmons,North Dakota,0,0.18083753863005125,0.6393547330494596,0.7266025761068298
Hot Springs,Wyoming,0,0.2154774478738802,0.6351395409494,0.7164610037255732
Washburn,Wisconsin,0,0.2145483706920158,0.6351395409494,0.7167706961195282
Rock,Nebraska,0.0007568272682045125,0.28800414661815904,0.50260257195346,0.7362121513867255
Bottineau,North Dakota,0,0.30983257051206825,0.6351395409494,0.6850092961795107
Foster,North Dakota,0,0.3001506083010601,0.6351395409494,0.6882366169165133
Eddy,North Dakota,0,0.2853636114697023,0.4459191043698085,0.756239094720163
Perkins,South Dakota,0,0.37788013926377967,0.5654267485253401,0.6855643707369601
Sawyer,Wisconsin,0,0.19479325587763566,0.6351395409494,0.7233557343909882
Curry,Oregon,0,0.19447052380393537,0.4459191043698085,0.786536790608752
Storey,Nevada,0,0.4067108711810038,0.6351395409494,0.6527165292898653
Koochiching,Minnesota,0,0.20656808668779095,0.6351395409494,0.719430790787603
Woodson,Kansas,0,0.13547901263544967,0.6351395409494,0.7431271488050502
Bedford City,Virginia,0,0.15263271134060946,0.6351395409494,0.7374092492366635
Republic,Kansas,0,0.19154637562101476,0.6351395409494,0.7244380278098618
Bayfield,Wisconsin,0,0.24408324531549505,0.6351395409494,0.7069257379117017
Logan,Kansas,0.00006208261719821176,0.3286488283847749,0.4109412572998969,0.75344927723271
Jefferson,Washington,0.0000025722977697147118,0.3133141650041075,0.3275078606193737,0.7863918006929164
Wells,North Dakota,0,0.27530023862613934,0.49955639347898406,0.7417144559649589
Huerfano,Colorado,0,0.13018816257872706,0.6309631985461154,0.7462828796250525
Northumberland,Virginia,0,0.20754606266870085,0.5445129107981221,0.749313675511059
Gilliam,Oregon,0,0.24211751359386613,0.6309631985461154,0.7089730959533396
Lake,Minnesota,0,0.0697199076790674,0.2834157922036468,0.8822881000390953
McHenry,North Dakota,0,0.5492215311191957,0.42058179465485496,0.6767322247419831
Madison,Montana,0,0.21267065680866878,0.26371892557530974,0.8412034725386738
Kings,California,0.0004071759087137466,0.2552419512576771,0.4355646514465857,0.7695954071290078
Keith,Nebraska,0,0.21499823964323436,0.6268251712107507,0.7193921963820049
New York County,New York,0,0.485790008997379,0.6268251712107507,0.6291282732639567
Cottle,Texas,0,0.14330282048272894,0.6268251712107507,0.7432906694355068
Lancaster,Virginia,0,0.3569318937526894,0.453886280646844,0.7297272752001556
Graham,Kansas,0,0.24407346555568596,0.30974422200860946,0.8153941041452348
Gilpin,Colorado,0,0.42932167585964087,0.622724934079362,0.649317796686999
Elk,Kansas,0,0.2521319876383836,0.5583373120076391,0.729843566784659
Harlan,Nebraska,0,0.057896178069866605,0.4935354313380282,0.8161894635307018
Cherry,Nebraska,0,0.2491687204162266,0.622724934079362,0.7093687818348038
Dolores,Colorado,0,0.1737276532488362,0.622724934079362,0.7345158042239339
Richardson,Nebraska,0,0.18186441341000664,0.622724934079362,0.7318035508368772
Golden Valley,Montana,0,0.15759104956382272,0.5988888888888888,0.7478400205157628
Smith,Kansas,0.0018170054516362048,0.2684152877205336,0.453886280646844,0.7586271420603288
Alexandria City,Virginia,0.0012894429263081047,0.6427258146539921,0.6186619718309859,0.5791075901962379
Cerro Gordo,Iowa,0.0007245378878671158,0.24262606110393928,0.6186619718309859,0.7126624763924025
Pembina,North Dakota,0,0.29202362789969877,0.6186619718309859,0.6964381334231051
Tripp,South Dakota,0,0.18912099518835818,0.6186619718309859,0.7307390109935519
Lincoln,Oregon,0,0.12431052693345851,0.30802566880573384,0.8558879347536026
Cass,Minnesota,0,0.3947502249344756,0.45929682573050234,0.7153176497783407
Macon,North Carolina,0,0.10028165708250206,0.3902027027027027,0.8365052134049318
Rooks,Kansas,0,0.21968274459179282,0.6146357784717353,0.7218938256454905
Towner,North Dakota,0,0.3475237648163361,0.6146357784717353,0.6792801522373095
Potter,South Dakota,0.0016503920272625662,0.17569338497046513,0.41814620115056544,0.8015033406172356
Thayer,Nebraska,0,0.23897821069514533,0.6146357784717353,0.7154620036110397
Sanders,Montana,0,0.12611000273833275,0.6146357784717353,0.753084739596644
Haywood,North Carolina,0,0.14235418378124634,0.47888673034374835,0.7929196952916684
Sargent,North Dakota,0,0.32659507882486405,0.6106458571247303,0.6875863546834686
Putnam,Missouri,0,0.3015588937135704,0.37279929577464793,0.7752139368372606
Menominee,Michigan,0,0.13053045417204553,0.2849911971830986,0.8614927828816186
Alcona,Michigan,0,0.16824120799593162,0.6106458571247303,0.7403709782931127
Pierce,North Dakota,0,0.3837577749090482,0.45121095577152953,0.7216770897731408
Pacific,Washington,0,0.19406955365176232,0.6106458571247303,0.731761529741169
Big Stone,Minnesota,0,0.2574717364941517,0.6106458571247303,0.710627468793706
Mackinac,Michigan,0,0.18305754410671674,0.6106458571247303,0.7354321995895177
Steele,North Dakota,0,0.35690255447326213,0.49955639347898406,0.7145136840159179
Furnas,Nebraska,0,0.1918495481750968,0.6106458571247303,0.7325015315667243
Sioux,Nebraska,0,0.1576986269217228,0.24131701201976255,0.8669947870195049
Sherman,Kansas,0,0.2757794468567852,0.33869729279101396,0.7951744201174002
Kingsbury,South Dakota,0,0.3069573211281931,0.6066917198256806,0.6954503196820421
Brewster,Texas,0.0007646558867510526,0.2003970582482494,0.6066917198256806,0.7307155220131063
Osborne,Kansas,0,0.17543911121542854,0.6066917198256806,0.7392897229862969
Shoshone,Idaho,0,0.18047568751711457,0.6066917198256806,0.7376108642190682
Bath,Virginia,0,0.10572898329617024,0.4703638497652582,0.8079690556461905
Ida,Iowa,0,0.22946250440089191,0.6066917198256806,0.7212819252578091
Fall River,South Dakota,0,0.172915933184681,0.6066917198256806,0.7401307823298795
Boyd,Nebraska,0,0.19943864178695772,0.50260257195346,0.7659862620865274
Piscataquis,Maine,0,0.16293079841959082,0.6066917198256806,0.7434591605849095
Dundy,Nebraska,0,0.2684055079607245,0.6066917198256806,0.7083009240711984
Cherokee,Alabama,0,0.17986934240895044,0.39926201041867637,0.8069562157241243
Sanborn,South Dakota,0,0.2777256190587959,0.6066917198256806,0.7051942203718411
Audubon,Iowa,0,0.27703125611234986,0.6027728873239436,0.7067319521879021
Miner,South Dakota,0,0.2786351367210421,0.6027728873239436,0.706197325318338
Coos,New Hampshire,0.000876748112296939,0.17558580761256504,0.5411285138215183,0.7608029768178732
Barber,Kansas,0,0.25362829088917577,0.6027728873239436,0.7145329405956269
Jones,South Dakota,0,0.20841646129171068,0.2787426808039247,0.8376136193014548
Hancock,Maine,0.00004635188657285382,0.04903571568282283,0.30974422200860946,0.8803912368073317
Marinette,Wisconsin,0.0009441060116884577,0.20052419512576772,0.6027728873239436,0.7319196038462001
Swift,Minnesota,0,0.27422446504713843,0.6027728873239436,0.7076675492096394
Walsh,North Dakota,0,0.27975980909908854,0.6027728873239436,0.7058224345256559
Henderson,Illinois,0.00008803400334684303,0.20453389664749833,0.4703638497652582,0.7750047398612989
Pocahontas,Iowa,0,0.13489222704690373,0.5583373120076391,0.768923486981819
Sarasota,Florida,0.00047633756154725365,0.2842584986112741,0.5988888888888888,0.7054587583127633
Hampshire,West Virginia,0,0.4033270742870555,0.45121095577152953,0.7151539899804717
Valley,Nebraska,0,0.29815553730000394,0.43812512757705663,0.7545731117076465
Clear Creek,Colorado,0,0.4623185854555412,0.5988888888888888,0.6462641752185234
Hickory,Missouri,0,0.09133317685717639,0.5988888888888888,0.7699259780846449
Cavalier,North Dakota,0,0.35126941282322105,0.5988888888888888,0.6832805660959633
Garfield,Nebraska,0,0.36220318428979387,0.4255049872186858,0.7374306094971734
Windsor,Vermont,0,0.3175879200406838,0.5988888888888888,0.6945077303568091
Baker,Oregon,0.00006646573047131697,0.28605797441614833,0.3238687443811807,0.7966689384907332
Llano,Texas,0,0.23577044947776082,0.595039262121401,0.723063429466946
Beaverhead,Montana,0,0.2115166451511951,0.595039262121401,0.7311480309091347
